"","species","site","era","nest1","nest2","size1mm","habitat","tideHTm","lat","long"
"1","Chlorostoma funebralis","Wara.B","present","tran3W","quad3",23.8,"mussels",1.47046766168076,36.62195,-121.90534
"2","Chlorostoma funebralis","Wara.B","present","tran3W","quad3",17,"mussels",1.47046766168076,36.62195,-121.90534
"3","Chlorostoma funebralis","Wara.B","present","tran3W","quad3",21,"mussels",1.47046766168076,36.62195,-121.90534
"4","Chlorostoma funebralis","Wara.B","present","tran3W","quad3",16.3,"mussels",1.47046766168076,36.62195,-121.90534
"5","Chlorostoma funebralis","Wara.B","present","tran3W","quad3",19,"mussels",1.47046766168076,36.62195,-121.90534
"6","Chlorostoma funebralis","Wara.B","present","tran3W","quad4",18,"mussels",1.47046766168076,36.62195,-121.90534
"7","Chlorostoma funebralis","Wara.B","present","tran4R","quad3",17.2,"barnacles/mussels",1.03983650975483,36.62197,-121.90547
"8","Chlorostoma funebralis","Wara.B","present","tran4R","quad3",19.6,"barnacles/mussels",1.03983650975483,36.62197,-121.90547
"9","Chlorostoma funebralis","Wara.B","present","tran4R","quad3",18.5,"barnacles/mussels",1.03983650975483,36.62197,-121.90547
"10","Chlorostoma funebralis","Wara.B","present","tran4R","quad3",15.1,"barnacles/mussels",1.03983650975483,36.62197,-121.90547
"11","Chlorostoma funebralis","Wara.B","present","tran4R","quad3",19.2,"barnacles/mussels",1.03983650975483,36.62197,-121.90547
"12","Chlorostoma funebralis","Wara.B","present","tran4R","quad3",14.2,"barnacles/mussels",1.03983650975483,36.62197,-121.90547
"13","Chlorostoma funebralis","Wara.B","present","tran4R","quad3",10.9,"barnacles/mussels",1.03983650975483,36.62197,-121.90547
"14","Chlorostoma funebralis","Wara.B","present","tran4R","quad3",10.4,"barnacles/mussels",1.03983650975483,36.62197,-121.90547
"15","Chlorostoma funebralis","Wara.B","present","tran4R","quad4",21.8,"barnacles/coralline",1.03983650975483,36.62197,-121.90547
"16","Chlorostoma funebralis","Wara.B","present","tran4R","quad4",21.7,"barnacles/coralline",1.03983650975483,36.62197,-121.90547
"17","Chlorostoma funebralis","Wara.B","present","tran4R","quad4",21.2,"barnacles/coralline",1.03983650975483,36.62197,-121.90547
"18","Chlorostoma funebralis","Wara.B","present","tran4R","quad4",20,"barnacles/coralline",1.03983650975483,36.62197,-121.90547
"19","Chlorostoma funebralis","Wara.B","present","tran4R","quad4",24.5,"barnacles/coralline",1.03983650975483,36.62197,-121.90547
"20","Chlorostoma funebralis","Wara.B","present","tran4R","quad4",24,"barnacles/coralline",1.03983650975483,36.62197,-121.90547
"21","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",19.1,"barnacles",1.32692394437212,36.62194,-121.90537
"22","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",17.5,"barnacles",1.32692394437212,36.62194,-121.90537
"23","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",18.3,"barnacles",1.32692394437212,36.62194,-121.90537
"24","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",20.8,"barnacles",1.32692394437212,36.62194,-121.90537
"25","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",20.4,"barnacles",1.32692394437212,36.62194,-121.90537
"26","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",15.7,"barnacles",1.32692394437212,36.62194,-121.90537
"27","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",17,"barnacles",1.32692394437212,36.62194,-121.90537
"28","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",16,"barnacles",1.32692394437212,36.62194,-121.90537
"29","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",16.3,"barnacles",1.32692394437212,36.62194,-121.90537
"30","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",19,"barnacles",1.32692394437212,36.62194,-121.90537
"31","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",17.1,"barnacles",1.32692394437212,36.62194,-121.90537
"32","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",16.4,"barnacles",1.32692394437212,36.62194,-121.90537
"33","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",18,"barnacles",1.32692394437212,36.62194,-121.90537
"34","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",17.1,"barnacles",1.32692394437212,36.62194,-121.90537
"35","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",18.2,"barnacles",1.32692394437212,36.62194,-121.90537
"36","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",15.4,"barnacles",1.32692394437212,36.62194,-121.90537
"37","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",17.8,"barnacles",1.32692394437212,36.62194,-121.90537
"38","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",18.1,"barnacles",1.32692394437212,36.62194,-121.90537
"39","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",16,"barnacles",1.32692394437212,36.62194,-121.90537
"40","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",18.1,"barnacles",1.32692394437212,36.62194,-121.90537
"41","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",16.9,"barnacles",1.32692394437212,36.62194,-121.90537
"42","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",22.8,"barnacles",1.32692394437212,36.62194,-121.90537
"43","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",16.4,"barnacles",1.32692394437212,36.62194,-121.90537
"44","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",17.4,"barnacles",1.32692394437212,36.62194,-121.90537
"45","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",17,"barnacles",1.32692394437212,36.62194,-121.90537
"46","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",21.9,"barnacles",1.32692394437212,36.62194,-121.90537
"47","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",19.2,"barnacles",1.32692394437212,36.62194,-121.90537
"48","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",16,"barnacles",1.32692394437212,36.62194,-121.90537
"49","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",17,"barnacles",1.32692394437212,36.62194,-121.90537
"50","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",18.9,"barnacles",1.32692394437212,36.62194,-121.90537
"51","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",18.5,"barnacles",1.32692394437212,36.62194,-121.90537
"52","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",18.9,"barnacles",1.32692394437212,36.62194,-121.90537
"53","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",15.5,"barnacles",1.32692394437212,36.62194,-121.90537
"54","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",15.9,"barnacles",1.32692394437212,36.62194,-121.90537
"55","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",16.1,"barnacles",1.32692394437212,36.62194,-121.90537
"56","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",16,"barnacles",1.32692394437212,36.62194,-121.90537
"57","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",18.4,"barnacles",1.32692394437212,36.62194,-121.90537
"58","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",15.1,"barnacles",1.32692394437212,36.62194,-121.90537
"59","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",19.9,"barnacles",1.32692394437212,36.62194,-121.90537
"60","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",20,"barnacles",1.32692394437212,36.62194,-121.90537
"61","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",20.6,"barnacles",1.32692394437212,36.62194,-121.90537
"62","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",20.7,"barnacles",1.32692394437212,36.62194,-121.90537
"63","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",18.2,"barnacles",1.32692394437212,36.62194,-121.90537
"64","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",18,"barnacles",1.32692394437212,36.62194,-121.90537
"65","Chlorostoma funebralis","Wara.B","present","tran4W","quad1",18.7,"barnacles",1.32692394437212,36.62194,-121.90537
